BENE_ID,BENE_MBI_ID,BENE_LAST_NAME,BENE_1ST_NAME,BENE_MIDL_NAME,BENE_BRTH_DT,BENE_SEX_CD,BENE_RACE_CD,BENE_SK,BENE_XREF_SK,BENE_XREF_EFCTV_SK,IDR_TRANS_EFCTV_TS,IDR_INSRT_TS,IDR_UPDT_TS,IDR_TRANS_OBSLT_TS,CNTCT_LANG_CD,IDR_LTST_TRANS_FLG,BENE_LINE_1_ADR,BENE_LINE_2_ADR,BENE_LINE_3_ADR,BENE_LINE_4_ADR,BENE_LINE_5_ADR,BENE_LINE_6_ADR,GEO_ZIP_PLC_NAME,GEO_ZIP5_CD,GEO_USPS_STATE_CD,BENE_DEATH_DT,BENE_VRFY_DEATH_DAY_SW,BENE_SSN_NUM
-10000010287995,1S00EU8EY95,Venegas795,Claudio955,C,1977-01-27,1,5,-842963000,-842963000,-842963000,2020-06-23 12:59:45.208263,2021-07-12 09:56:21.474519,2021-08-09 04:25:40.151887,9999-12-31T00:00:00.000000,SPA,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,947541660
-10000010287992,1S00EU8EY92,Lakin515,Adalberto916,L,1939-09-26,1,1,-972640865,-972640865,-972640865,2021-11-12 04:07:02.677524,2023-03-11 10:51:55.353522,2025-04-07 00:09:40.571410,9999-12-31T00:00:00.000000,SPA,Y,2904 61st,,,,,,Galveston,77551,TX,2022-10-24,Y,988976009
-10000010287991,7L63JJ3JM39,Bednar518,Tennille443,M,1985-01-18,2,5,-59431060,-59431060,-59431060,2025-01-13 15:59:33.181530,2025-02-13 02:06:47.584852,2025-07-30 11:02:27.041060,2019-05-19T00:00:00.000000,~,N,14152 ND-27,,,,,,Lisbon,58054,ND,,,975389863
-10000010287991,6LR3UQ3FD00,Bednar518,Tennille443,M,1985-01-18,2,5,-59431060,-59431060,-59431060,2023-11-08 20:54:12.659137,2025-06-19 18:14:00.331731,2025-07-24 22:24:46.809713,2022-10-01T00:00:00.000000,~,N,14152 ND-27,,,,,,Lisbon,58054,ND,,,948231197
-10000010287991,1S00EU8EY91,Bednar518,Tennille443,M,1985-01-18,2,5,-59431060,-59431060,-59431060,2020-08-30 13:53:30.513451,2021-04-30 02:07:21.062925,2021-12-10 03:30:53.894079,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,967025014
-10000010287983,1S00EU8EY83,Turcotte120,Sammie902,E,1971-03-23,1,1,-8887648,-8887648,-8887648,2020-11-03 16:18:16.742435,2024-07-25 16:03:30.722533,2024-10-11 21:56:33.282093,9999-12-31T00:00:00.000000,~,Y,2904 61st,,,,,,Galveston,77551,TX,,,959678885
-10000010287978,1S00EU8EY78,Baca589,Teodoro374,S,1953-06-08,1,5,-820535566,-820535566,-820535566,2026-01-24 00:08:47.649667,2026-01-24 23:18:39.813734,2026-01-26 09:53:28.642362,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,912007264
-10000010287975,1S00EU8EY75,Berge125,Beatrice15,A,1962-06-20,2,6,-865200809,-865200809,-865200809,2025-02-21 22:53:41.739279,2025-11-04 12:07:21.460505,2026-01-14 21:15:26.207153,9999-12-31T00:00:00.000000,ENG,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,964648318
-10000010287974,1S00EU8EY74,Alcaraz418,Esteban536,Ó,1960-02-03,1,5,-291314505,-291314505,-291314505,2018-11-11 08:45:50.066028,2025-05-30 15:10:04.068132,2025-09-25 17:46:31.936867,9999-12-31T00:00:00.000000,SPA,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,901679849
-10000010287972,1S00EU8EY72,Pulido715,Gilberto712,J,2011-12-19,1,5,-406328640,-406328640,-406328640,2019-12-01 05:38:52.181800,2023-05-08 07:33:25.697817,2025-08-26 03:08:32.278394,9999-12-31T00:00:00.000000,SPA,Y,2904 61st,,,,,,Galveston,77551,TX,,,919358296
-10000010287969,1S00EU8EY69,Rangel145,Eduardo902,,1954-03-07,1,5,-382124399,-382124399,-382124399,2018-04-23 20:07:04.028951,2021-11-04 07:49:15.769081,2022-04-26 15:42:10.829222,9999-12-31T00:00:00.000000,ENG,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,2024-07-22,N,911689367
-10000010287953,1S00EU8EY53,Serrano248,Ramiro608,R,1964-02-22,1,5,-247059230,-247059230,-247059230,2017-07-28 14:27:49.952300,2020-10-21 15:08:40.411419,2023-10-31 12:54:40.244285,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,965920263
-10000010287949,1S00EU8EY49,Jenkins714,Neal874,A,1950-11-21,1,5,-445424467,-445424467,-445424467,2021-08-10 03:34:45.603086,2023-06-07 11:14:25.398719,2023-12-23 19:30:40.321148,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,900175004
-10000010287946,6IF4HK6YF79,Cummerata161,Floy720,N,1956-01-05,2,4,-186055138,-186055138,-186055138,2019-05-10 17:00:36.355442,2024-10-31 03:38:56.420521,2025-10-09 18:31:45.402853,2022-04-22T00:00:00.000000,ENG,N,777 Brockton Avenue,,,,,,Abington,02351,MA,,,985084428
-10000010287946,1S00EU8EY46,Cummerata161,Floy720,N,1956-01-05,2,4,-186055138,-186055138,-186055138,2019-02-14 22:19:54.843385,2019-04-22 04:03:38.858595,2020-02-22 00:36:22.241028,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,912628090
-10000010287944,1S00EU8EY44,Marvin195,Dorinda15,D,1921-09-26,2,3,-348996596,-164268191,-164268191,2021-11-30 16:33:46.817036,2023-10-27 21:33:12.954829,2024-04-04 10:20:57.682025,2025-12-04T00:00:00.000000,ENG,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,963036567
-10000010287944,1S00EU8EY44,Marvin195,Dorinda15,D,1921-09-26,2,3,-164268191,-164268191,-164268191,2025-04-27 02:33:25.944473,2025-08-22 13:26:21.258885,2025-10-28 18:16:35.773060,9999-12-31T00:00:00.000000,ENG,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,968962887
-10000010287943,1S00EU8EY43,Yost751,Kerry175,V,1940-01-04,2,1,-678940863,-678940863,-678940863,2019-04-08 14:51:32.652607,2021-07-08 09:26:08.705878,2023-06-26 17:28:43.177961,9999-12-31T00:00:00.000000,~,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,2023-02-09,N,959400719
-10000010287942,1S00EU8EY42,Sanches349,Jaime666,R,1965-12-04,1,5,-928329578,-928329578,-928329578,2022-09-23 06:43:36.360927,2024-09-07 01:35:13.637971,2025-03-11 06:45:03.293848,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,945392674
-10000010287940,1S00EU8EY40,Heidenreich818,Sibyl335,S,1965-02-28,2,1,-999483501,-999483501,-999483501,2019-04-02 23:35:44.364365,2023-05-06 05:37:27.273650,2024-08-21 20:21:09.523486,9999-12-31T00:00:00.000000,ENG,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,980886716
-10000010287939,1S00EU8EY39,Crooks415,Georgia502,L,1914-08-21,2,1,-288554910,-288554910,-288554910,2019-11-13 01:10:23.818195,2020-11-08 00:35:32.622725,2025-08-29 22:18:06.482531,9999-12-31T00:00:00.000000,SPA,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,979952709
-10000010287936,1S00EU8EY36,Velasco179,Gloria696,Elmo,1993-11-26,2,5,-393782228,-393782228,-393782228,2025-11-19 01:59:32.883952,2026-01-01 10:03:12.996050,2026-01-25 22:43:32.225709,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,990917935
-10000010287929,1S00EU8EY29,Sporer811,Brittaney358,M,1946-05-15,2,4,-669431380,-669431380,-669431380,2022-05-29 22:28:58.195918,2023-05-29 06:25:51.401275,2024-09-22 09:50:26.671696,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,2023-03-11,Y,900497056
-10000010287928,1S00EU8EY28,Dickens475,Jerrie417,M,2012-01-27,2,2,-607588984,-607588984,-607588984,2023-06-09 05:37:27.453242,2024-11-19 07:29:55.776015,2025-11-24 18:06:47.560879,9999-12-31T00:00:00.000000,SPA,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,927576824
-10000010287924,1S00EU8EY24,Villaseñor332,Ramón841,L,1937-01-05,1,5,-26450131,-26450131,-26450131,2022-10-06 01:39:19.574318,2025-11-24 08:24:32.312796,2026-01-18 00:07:23.787873,9999-12-31T00:00:00.000000,~,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,981865891
-10000010287923,1S00EU8EY23,Kuhic920,Rudy520,R,1965-07-09,1,3,-32397307,-614937112,-614937112,2020-12-01 11:46:06.792952,2022-09-11 04:30:02.725507,2023-11-28 02:41:19.394895,2025-07-30T00:00:00.000000,ENG,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,966157123
-10000010287923,1S00EU8EY23,Kuhic920,Rudy520,R,1965-07-09,1,3,-614937112,-614937112,-614937112,2019-04-16 22:59:54.057668,2024-02-22 01:27:36.032143,2025-10-24 01:23:15.715960,9999-12-31T00:00:00.000000,ENG,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,988946202
-10000010287920,2BQ3J20QA60,Bonilla161,Concepción765,E,1944-12-19,2,5,-387393254,-387393254,-387393254,2022-03-24 02:07:55.314669,2025-12-26 00:16:45.762786,2026-01-20 20:03:23.312135,2021-05-25T00:00:00.000000,~,N,1970 S University Blvd,,,,,,Mobile,36609,AL,,,977983038
-10000010287920,1S00EU8EY20,Bonilla161,Concepción765,E,1944-12-19,2,5,-387393254,-387393254,-387393254,2021-10-09 23:11:36.879022,2022-06-18 03:11:16.713672,2023-12-26 03:48:23.723390,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,912482658
-10000010287913,1S00EU8EY13,Garrido242,Florencia449,G,2003-09-06,2,5,-460587435,-460587435,-460587435,2024-07-13 10:07:44.184879,2025-03-13 21:06:34.004265,2025-09-29 10:57:55.879048,9999-12-31T00:00:00.000000,SPA,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,934125715
-10000010287912,1S00EU8EY12,Auer97,Mariann762,E,1955-05-14,2,4,-770299873,-770299873,-770299873,2019-05-13 18:04:17.240653,2022-12-04 22:44:25.992795,2024-01-14 07:10:29.104948,9999-12-31T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,978029380
-10000010287909,6O50MP3AC03,Skiles927,Candace369,M,2014-03-30,2,1,-879627865,-879627865,-879627865,2019-12-31 02:56:21.896228,2020-06-17 09:54:26.110397,2021-05-08 00:43:54.835027,2019-06-19T00:00:00.000000,SPA,N,777 Brockton Avenue,,,,,,Abington,02351,MA,,,916180910
-10000010287909,1S00EU8EY09,Skiles927,Candace369,M,2014-03-30,2,1,-879627865,-879627865,-879627865,2018-07-27 02:28:42.018423,2023-03-21 14:37:18.931509,2023-11-11 12:59:13.785631,9999-12-31T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,981843705
-10000010287906,7BH6AA1YC59,Cardenas331,Samuel331,A,1941-04-09,1,5,-864765923,-864765923,-864765923,2022-05-14 05:51:03.865959,2024-08-11 09:55:27.150548,2025-12-29 20:14:27.058422,2020-10-18T00:00:00.000000,ENG,N,777 Brockton Avenue,,,,,,Abington,02351,MA,2020-05-28,N,971542468
-10000010287906,1S00EU8EY06,Cardenas331,Samuel331,A,1941-04-09,1,5,-864765923,-864765923,-864765923,2018-05-14 14:29:09.571104,2019-02-05 07:17:20.392851,2025-08-28 08:26:51.333839,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,2020-05-28,N,666484650
-10000010287904,1S00EU8EY04,Legros616,Asley870,R,1955-08-13,2,1,-344796983,-344796983,-344796983,2022-03-07 13:11:25.207515,2025-05-03 04:42:33.061241,2025-05-18 19:16:29.110821,9999-12-31T00:00:00.000000,ENG,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,973025160
-10000010287903,1S00EU8EY03,Barrows492,Kasi212,O,2018-05-12,2,1,-924753692,-924753692,-924753692,2024-01-06 18:32:19.091387,2024-10-22 15:33:17.527213,2025-07-16 05:13:16.208986,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,990056965
-10000010287898,1S00EU8EX98,Kautzer186,Hertha832,Le Petit Prince,2000-06-09,2,5,-923932270,-923932270,-923932270,2019-02-11 05:52:51.164683,2020-05-19 19:47:28.184386,2020-11-18 18:19:11.072697,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,957442146
-10000010287896,1S00EU8EX96,Morissette863,Bud153,D,1956-04-12,1,5,-572321227,-572321227,-572321227,2018-04-02 12:10:21.448662,2022-06-30 16:32:39.232518,2024-09-22 06:54:04.331415,9999-12-31T00:00:00.000000,SPA,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,2025-03-30,Y,978970007
-10000010287894,1S00EU8EX94,McDermott739,Ward668,A,1959-07-29,1,1,-468929089,-112340417,-112340417,2022-05-25 08:38:42.998953,2025-04-30 22:43:18.373588,2026-01-22 19:23:14.737980,2025-03-07T00:00:00.000000,ENG,Y,2904 61st,,,,,,Galveston,77551,TX,2023-10-03,N,990106507
-10000010287894,1S00EU8EX94,McDermott739,Ward668,A,1959-07-29,1,1,-112340417,-112340417,-112340417,2025-04-11 20:24:29.385398,2025-06-04 01:32:26.677127,2025-09-17 21:02:10.224490,9999-12-31T00:00:00.000000,ENG,Y,2904 61st,,,,,,Galveston,77551,TX,2023-10-03,N,954566930
-10000010287893,1S00EU8EX93,Anaya940,Andrés117,V,1946-01-16,1,5,-724681227,-724681227,-724681227,2018-10-18 06:04:00.185319,2025-11-12 00:57:18.967066,2026-01-05 00:18:24.344455,9999-12-31T00:00:00.000000,ENG,Y,14152 ND-27,,,,,,Lisbon,58054,ND,2022-12-09,N,951387104
-10000010287885,1S00EU8EX85,Gutmann970,Adella39,A,1971-07-22,2,1,-985121815,-985121815,-985121815,2019-05-04 03:25:14.611342,2024-05-24 21:53:05.344146,2024-11-28 10:06:33.144476,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,902472606
-10000010287882,1S00EU8EX82,Hickle134,Kristina583,V,1945-08-17,2,1,-553365756,-553365756,-553365756,2023-04-01 21:59:29.453085,2024-03-03 20:36:12.806280,2024-08-18 14:33:41.798144,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,992345048
-10000010287880,1S00EU8EX80,Lakin515,Gwyneth692,Chilli,1964-02-25,2,5,-629944716,-629944716,-629944716,2019-03-31 15:05:56.015546,2024-02-20 12:26:35.552016,2024-04-09 08:19:24.082035,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,984442998
-10000010287875,1S00EU8EX75,Towne435,Malissa448,R,1938-11-19,2,5,-216033750,-216033750,-216033750,2018-11-16 09:22:24.604488,2024-04-20 18:24:40.410199,2024-09-03 05:04:08.649982,9999-12-31T00:00:00.000000,SPA,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,921636492
-10000010287870,1S00EU8EX70,Ureña88,Gonzalo160,Bingo,1946-02-26,1,5,-316742635,-316742635,-316742635,2020-02-23 18:15:08.779908,2021-01-13 22:37:53.679744,2025-01-23 06:27:21.940409,9999-12-31T00:00:00.000000,~,Y,2904 61st,,,,,,Galveston,77551,TX,,,990076017
-10000010287866,1S00EU8EX66,Corkery305,Tona622,A,1957-04-16,2,5,-288947710,-288947710,-288947710,2019-09-01 16:50:17.547824,2022-02-18 18:13:40.611025,2022-10-29 06:07:43.987007,9999-12-31T00:00:00.000000,~,Y,2904 61st,,,,,,Galveston,77551,TX,,,947247211
-10000010287865,1S00EU8EX65,Kuvalis369,Tracie996,L,1949-01-09,2,1,-655883305,-655883305,-655883305,2021-07-26 03:48:55.466528,2024-12-02 08:56:19.731989,2025-04-25 00:32:11.427642,9999-12-31T00:00:00.000000,SPA,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,940209231
-10000010287855,1S00EU8EX55,Bueno515,Lourdes258,E,1960-08-16,2,5,-253551504,-253551504,-253551504,2018-04-28 09:19:08.190539,2024-02-01 20:32:24.142218,2026-01-13 18:35:28.585150,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,931938641
-10000010287851,1S00EU8EX51,Cuellar188,Gerardo48,Bingo,1956-09-01,1,5,-293602689,-909490590,-909490590,2026-01-27 10:41:12.094832,2026-01-27 11:03:44.453718,2026-01-27 11:12:00.629997,2025-06-16T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,948171295
-10000010287851,1S00EU8EX51,Cuellar188,Gerardo48,Bingo,1956-09-01,1,5,-909490590,-909490590,-909490590,2019-03-05 21:57:15.805258,2023-01-15 07:09:25.299455,2024-04-08 04:58:41.307965,9999-12-31T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,912880763
-10000010287848,1S00EU8EX48,Franecki195,Reginald96,M,1951-03-04,1,1,-762102976,-762102976,-762102976,2020-04-06 14:16:20.326199,2021-01-07 16:51:58.086354,2023-03-11 06:13:45.321476,9999-12-31T00:00:00.000000,ENG,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,946470398
-10000010287839,5ZK2NX2AA82,Labadie908,Nathan164,J,1961-02-20,1,1,-8922056,-8922056,-8922056,2020-02-03 22:37:34.455407,2021-12-27 18:19:11.596797,2022-09-22 18:19:12.160692,2020-05-19T00:00:00.000000,ENG,N,2904 61st,,,,,,Galveston,77551,TX,,,943587543
-10000010287839,1S00EU8EX39,Labadie908,Nathan164,J,1961-02-20,1,1,-8922056,-8922056,-8922056,2021-01-08 12:52:09.710596,2024-01-23 14:02:37.384859,2024-08-28 03:27:20.434105,9999-12-31T00:00:00.000000,ENG,Y,2904 61st,,,,,,Galveston,77551,TX,,,949735232
-10000010287836,1S00EU8EX36,Leffler128,Augustine565,,1965-05-21,2,1,-726523279,-726523279,-726523279,2019-03-22 00:24:30.406231,2024-07-25 11:53:02.515649,2025-12-08 19:45:48.799298,9999-12-31T00:00:00.000000,ENG,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,2025-10-23,N,905369823
-10000010287832,9O48EP0NT20,Reichert620,Felton646,W,1916-10-12,1,3,-753872656,-753872656,-753872656,2021-07-05 20:27:39.146422,2024-07-06 09:00:59.136169,2024-12-22 15:26:12.994916,2019-08-12T00:00:00.000000,~,N,777 Brockton Avenue,,,,,,Abington,02351,MA,,,933490743
-10000010287832,2I36FC7XJ11,Reichert620,Felton646,W,1916-10-12,1,3,-753872656,-753872656,-753872656,2023-03-21 06:46:19.329962,2025-08-12 01:34:28.518465,2025-08-26 05:28:33.955815,2020-04-03T00:00:00.000000,~,N,777 Brockton Avenue,,,,,,Abington,02351,MA,,,906536856
-10000010287832,1S00EU8EX32,Reichert620,Felton646,W,1916-10-12,1,3,-753872656,-753872656,-753872656,2020-03-01 14:00:18.830756,2024-09-09 13:48:19.934655,2025-07-09 13:33:02.835061,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,985500966
-10000010287830,1S00EU8EX30,Ortiz186,Shawn523,M,1957-12-07,1,4,-687556335,-687556335,-687556335,2021-11-05 11:37:17.529654,2024-12-27 06:20:26.880076,2025-04-26 15:14:22.124430,9999-12-31T00:00:00.000000,SPA,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,932700567
-10000010287827,1S00EU8EX27,Moen819,Max124,R,1957-01-27,1,5,-796032538,-796032538,-796032538,2024-03-27 16:15:41.028821,2025-07-25 02:35:12.723166,2025-07-28 03:47:48.878250,9999-12-31T00:00:00.000000,SPA,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,951499680
-10000010287821,1S00EU8EX21,Mayert710,Royce974,I,1944-02-26,2,1,-315087879,-315087879,-315087879,2017-07-26 11:03:19.370629,2019-04-15 19:38:38.958268,2022-02-09 23:17:54.759633,9999-12-31T00:00:00.000000,~,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,941540720
-10000010287820,8OF1C61CV61,Moore224,Derick144,G,1923-07-26,1,5,-155397802,-155397802,-155397802,2019-04-13 18:42:19.269581,2024-08-02 10:47:04.848221,2025-07-04 20:26:37.178610,2020-09-16T00:00:00.000000,ENG,N,777 Brockton Avenue,,,,,,Abington,02351,MA,,,902542821
-10000010287820,1S00EU8EX20,Moore224,Derick144,G,1923-07-26,1,5,-155397802,-155397802,-155397802,2021-02-23 00:19:11.642693,2024-11-19 05:30:30.674463,2025-10-03 23:45:35.571482,9999-12-31T00:00:00.000000,ENG,Y,777 Brockton Avenue,,,,,,Abington,02351,MA,,,904141637
-10000010287816,1S00EU8EX16,Jast432,Kelly223,W,1954-04-19,1,1,-490986816,-490986816,-490986816,2023-06-08 12:48:19.175591,2023-06-24 23:41:03.291416,2024-11-07 01:54:01.072166,9999-12-31T00:00:00.000000,ENG,Y,2904 61st,,,,,,Galveston,77551,TX,,,908363154
-10000010287811,1S00EU8EX11,Rath779,Cheyenne169,A,1966-06-22,2,1,-690021917,-690021917,-690021917,2022-08-25 07:22:24.265672,2025-01-10 15:26:27.768147,2025-04-04 22:18:31.149935,9999-12-31T00:00:00.000000,~,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,972855233
-10000010287808,1S00EU8EX08,Vergara204,Blanca837,A,1954-12-20,2,5,-114198270,-114198270,-114198270,2024-11-06 13:49:44.783819,2025-12-03 20:14:46.810613,2026-01-22 19:51:38.033315,9999-12-31T00:00:00.000000,~,Y,1970 S University Blvd,,,,,,Mobile,36609,AL,,,913495196
-10000010287806,9BA2U40JA09,Mora209,Gabriel934,G,1942-01-05,1,5,-699851588,-699851588,-699851588,2023-09-11 00:14:41.678878,2023-10-13 05:42:13.722469,2023-11-07 07:01:29.514651,2022-01-05T00:00:00.000000,~,N,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,969713103
-10000010287806,1S00EU8EX06,Mora209,Gabriel934,G,1942-01-05,1,5,-699851588,-699851588,-699851588,2019-06-24 08:03:40.584564,2025-02-18 20:45:59.865497,2025-06-23 17:06:53.169049,9999-12-31T00:00:00.000000,~,Y,3728 Broadway,Avenue J,,,,,Galveston,77550,TX,,,989023076
-10000010287805,1S00EU8EX05,Ritchie586,Elmo857,Chilli,1998-02-09,1,5,-914628223,-914628223,-914628223,2020-03-11 02:23:00.402648,2021-11-12 06:37:06.866299,2022-11-13 09:07:24.264826,9999-12-31T00:00:00.000000,~,Y,14152 ND-27,,,,,,Lisbon,58054,ND,,,999221380
